id,date,station,prcp,tobs
419,2011-04-08,USC00519397,0.36,70.0
420,2011-04-09,USC00519397,0.02,76.0
421,2011-04-10,USC00519397,0.0,76.0
422,2011-04-11,USC00519397,0.0,76.0
423,2011-04-12,USC00519397,0.0,76.0
424,2011-04-13,USC00519397,0.0,70.0
425,2011-04-15,USC00519397,0.0,77.0
426,2011-04-16,USC00519397,0.12,74.0
427,2011-04-17,USC00519397,0.0,73.0
428,2011-04-18,USC00519397,0.0,76.0
429,2011-04-19,USC00519397,0.0,76.0
430,2011-04-20,USC00519397,0.0,74.0
431,2011-04-21,USC00519397,0.0,77.0
432,2011-04-22,USC00519397,0.0,77.0
433,2011-04-23,USC00519397,0.0,78.0
434,2011-04-24,USC00519397,0.0,77.0
435,2011-04-25,USC00519397,0.0,77.0
436,2011-04-26,USC00519397,0.0,76.0
437,2011-04-27,USC00519397,0.0,77.0
438,2011-04-29,USC00519397,0.0,78.0
439,2011-04-30,USC00519397,0.04,76.0
440,2011-05-01,USC00519397,0.0,77.0
441,2011-05-02,USC00519397,0.0,77.0
442,2011-05-03,USC00519397,2.1,70.0
443,2011-05-04,USC00519397,0.02,76.0
444,2011-05-05,USC00519397,0.12,74.0
445,2011-05-06,USC00519397,0.12,72.0
446,2011-05-07,USC00519397,0.55,74.0
447,2011-05-08,USC00519397,0.55,73.0
448,2011-05-09,USC00519397,0.02,75.0
449,2011-05-10,USC00519397,0.11,75.0
450,2011-05-11,USC00519397,0.1,75.0
451,2011-05-12,USC00519397,0.0,76.0
452,2011-05-13,USC00519397,0.0,77.0
453,2011-05-14,USC00519397,0.0,78.0
454,2011-05-15,USC00519397,0.0,77.0
455,2011-05-16,USC00519397,0.0,78.0
456,2011-05-17,USC00519397,0.0,77.0
457,2011-05-18,USC00519397,0.0,76.0
458,2011-05-19,USC00519397,0.01,77.0
459,2011-05-20,USC00519397,0.0,79.0
460,2011-05-21,USC00519397,0.0,77.0
461,2011-05-22,USC00519397,0.06,74.0
462,2011-05-23,USC00519397,0.02,78.0
463,2011-05-24,USC00519397,0.0,77.0
464,2011-05-25,USC00519397,0.0,79.0
465,2011-05-26,USC00519397,0.0,78.0
466,2011-05-27,USC00519397,0.0,78.0
467,2011-05-28,USC00519397,0.0,77.0
468,2011-05-29,USC00519397,0.0,78.0
469,2011-05-30,USC00519397,0.0,78.0
470,2011-05-31,USC00519397,0.05,73.0
471,2011-06-01,USC00519397,0.07,77.0
472,2011-06-02,USC00519397,0.0,78.0
473,2011-06-03,USC00519397,0.56,73.0
474,2011-06-04,USC00519397,0.89,70.0
475,2011-06-05,USC00519397,0.0,76.0
476,2011-06-06,USC00519397,0.0,77.0
477,2011-06-07,USC00519397,0.0,77.0
478,2011-06-08,USC00519397,0.03,77.0
479,2011-06-09,USC00519397,0.01,77.0
480,2011-06-10,USC00519397,0.0,78.0
481,2011-06-11,USC00519397,0.0,77.0
482,2011-06-12,USC00519397,0.0,77.0
483,2011-06-13,USC00519397,0.0,78.0
484,2011-06-14,USC00519397,0.0,78.0
485,2011-06-15,USC00519397,0.0,77.0
486,2011-06-17,USC00519397,0.0,78.0
487,2011-06-18,USC00519397,0.0,78.0
488,2011-06-19,USC00519397,0.05,75.0
489,2011-06-20,USC00519397,0.06,76.0
490,2011-06-21,USC00519397,0.07,76.0
491,2011-06-24,USC00519397,,77.0
492,2011-06-25,USC00519397,0.0,78.0
493,2011-06-26,USC00519397,0.0,76.0
494,2011-06-27,USC00519397,0.01,77.0
495,2011-06-28,USC00519397,0.01,75.0
496,2011-06-29,USC00519397,0.0,77.0
497,2011-07-01,USC00519397,0.05,77.0
498,2011-07-02,USC00519397,0.02,78.0
499,2011-07-03,USC00519397,0.0,78.0
500,2011-07-04,USC00519397,0.0,78.0
501,2011-07-05,USC00519397,0.01,78.0
502,2011-07-06,USC00519397,0.01,76.0
503,2011-07-07,USC00519397,0.01,76.0
504,2011-07-08,USC00519397,0.0,77.0
505,2011-07-09,USC00519397,0.03,77.0
506,2011-07-10,USC00519397,0.02,77.0
507,2011-07-11,USC00519397,0.0,78.0
508,2011-07-12,USC00519397,0.0,77.0
509,2011-07-13,USC00519397,0.15,73.0
510,2011-07-14,USC00519397,0.0,77.0
511,2011-07-15,USC00519397,0.0,79.0
512,2011-07-16,USC00519397,0.0,78.0
513,2011-07-17,USC00519397,0.04,77.0
514,2011-07-18,USC00519397,0.0,78.0
515,2011-07-19,USC00519397,0.0,78.0
516,2011-07-20,USC00519397,0.0,76.0
517,2011-07-21,USC00519397,0.03,77.0
518,2011-07-23,USC00519397,0.0,78.0
519,2011-07-24,USC00519397,0.0,77.0
520,2011-07-25,USC00519397,0.0,78.0
521,2011-07-26,USC00519397,0.0,78.0
522,2011-07-27,USC00519397,0.04,77.0
523,2011-07-28,USC00519397,0.09,77.0
524,2011-07-29,USC00519397,0.04,78.0
525,2011-07-30,USC00519397,0.12,80.0
526,2011-07-31,USC00519397,0.0,77.0
527,2011-08-01,USC00519397,0.0,78.0
528,2011-08-02,USC00519397,0.0,77.0
529,2011-08-03,USC00519397,0.0,78.0
530,2011-08-04,USC00519397,0.02,76.0
531,2011-08-05,USC00519397,0.03,78.0
532,2011-08-06,USC00519397,0.01,77.0
533,2011-08-07,USC00519397,0.0,78.0
534,2011-08-08,USC00519397,0.0,78.0
535,2011-08-09,USC00519397,0.0,79.0
536,2011-08-11,USC00519397,0.0,78.0
537,2011-08-12,USC00519397,0.0,78.0
538,2011-08-13,USC00519397,0.0,76.0
539,2011-08-14,USC00519397,0.0,78.0
540,2011-08-15,USC00519397,0.0,77.0
541,2011-08-16,USC00519397,0.0,79.0
542,2011-08-17,USC00519397,0.02,77.0
543,2011-08-18,USC00519397,0.0,77.0
544,2011-08-19,USC00519397,0.0,78.0
545,2011-08-20,USC00519397,0.07,77.0
546,2011-08-21,USC00519397,0.0,77.0
547,2011-08-22,USC00519397,0.0,78.0
548,2011-08-23,USC00519397,0.0,78.0
549,2011-08-24,USC00519397,0.0,79.0
550,2011-08-25,USC00519397,0.0,78.0
551,2011-08-26,USC00519397,0.0,78.0
552,2011-08-27,USC00519397,0.0,79.0
553,2011-08-28,USC00519397,0.05,76.0
554,2011-08-29,USC00519397,0.1,76.0
555,2011-08-30,USC00519397,0.02,78.0
556,2011-08-31,USC00519397,0.0,79.0
557,2011-09-02,USC00519397,0.0,79.0
558,2011-09-03,USC00519397,0.0,78.0
559,2011-09-04,USC00519397,0.03,77.0
560,2011-09-05,USC00519397,0.0,77.0
561,2011-09-06,USC00519397,0.0,73.0
562,2011-09-07,USC00519397,0.0,73.0
563,2011-09-08,USC00519397,0.0,77.0
564,2011-09-09,USC00519397,0.0,79.0
565,2011-09-10,USC00519397,0.0,77.0
566,2011-09-11,USC00519397,0.0,77.0
567,2011-09-12,USC00519397,0.0,85.0
568,2011-09-13,USC00519397,0.01,77.0
569,2011-09-14,USC00519397,0.0,76.0
570,2011-09-15,USC00519397,0.0,79.0
571,2011-09-16,USC00519397,0.0,79.0
572,2011-09-17,USC00519397,0.02,77.0
573,2011-09-18,USC00519397,0.04,77.0
574,2011-09-19,USC00519397,0.0,82.0
575,2011-09-20,USC00519397,0.0,80.0
576,2011-09-21,USC00519397,0.0,79.0
577,2011-09-22,USC00519397,0.03,78.0
578,2011-09-23,USC00519397,0.0,76.0
579,2011-09-24,USC00519397,0.0,77.0
580,2011-09-25,USC00519397,0.0,74.0
581,2011-09-26,USC00519397,0.0,77.0
582,2011-09-27,USC00519397,0.0,78.0
583,2011-09-28,USC00519397,0.0,77.0
584,2011-10-01,USC00519397,0.0,78.0
585,2011-10-02,USC00519397,0.0,78.0
586,2011-10-03,USC00519397,0.0,80.0
587,2011-10-05,USC00519397,,79.0
588,2011-10-06,USC00519397,0.0,75.0
589,2011-10-07,USC00519397,0.03,78.0
590,2011-10-08,USC00519397,0.0,79.0
591,2011-10-09,USC00519397,0.0,78.0
592,2011-10-10,USC00519397,0.02,77.0
593,2011-10-11,USC00519397,0.03,78.0
594,2011-10-12,USC00519397,0.0,77.0
595,2011-10-13,USC00519397,0.0,77.0
596,2011-10-14,USC00519397,0.03,78.0
597,2011-10-15,USC00519397,0.02,77.0
598,2011-10-16,USC00519397,0.0,76.0
599,2011-10-17,USC00519397,0.02,77.0
600,2011-10-18,USC00519397,0.01,76.0
601,2011-10-19,USC00519397,0.0,74.0
602,2011-10-20,USC00519397,0.0,78.0
603,2011-10-21,USC00519397,0.0,76.0
604,2011-10-22,USC00519397,0.0,77.0
605,2011-10-23,USC00519397,0.0,75.0
606,2011-10-24,USC00519397,0.14,74.0
607,2011-10-25,USC00519397,1.6,77.0
608,2011-10-26,USC00519397,0.01,76.0
